iter	RMSE
0	10120.2558
1	9090.407015
2	8151.699087
3	7404.745382
4	6765.370451
5	6141.901229
6	5639.193566
7	5245.520146
8	4940.195242
9	4642.419552
10	4410.006426
11	4238.537586
12	4076.677858
13	3943.500912
14	3832.763743
15	3730.498811
16	3648.713683
17	3587.376941
18	3530.274816
19	3487.663867
20	3426.854451
21	3381.986285
22	3337.117024
23	3282.312267
24	3237.363021
25	3190.416628
26	3142.160394
27	3112.352882
28	3092.829486
29	3071.739819
30	3049.133772
31	3034.994403
32	3018.36928
33	2991.365592
34	2968.618442
35	2927.759015
36	2917.196325
37	2910.841356
38	2885.266201
39	2874.618925
40	2866.653346
41	2831.538343
42	2793.576017
43	2783.338517
44	2760.37831
45	2750.539715
46	2737.044012
47	2709.747443
48	2690.144128
49	2682.496326
50	2673.577267
51	2663.924289
52	2610.817687
53	2593.203389
54	2586.250114
55	2579.517293
56	2559.130755
57	2539.023305
58	2526.742545
59	2511.984153
60	2501.308206
61	2494.042216
62	2489.830702
63	2476.648537
64	2465.94435
65	2453.911164
66	2437.314992
67	2429.581074
68	2419.221237
69	2409.907703
70	2397.944328
71	2352.451634
72	2342.940865
73	2333.032835
74	2323.149359
75	2314.761776
76	2302.45739
77	2299.019489
78	2288.125697
79	2271.841816
80	2260.7925
81	2256.2379
82	2245.342113
83	2235.107451
84	2227.593941
85	2221.901827
86	2210.673294
87	2203.272901
88	2199.824562
89	2193.171688
90	2189.86256
91	2181.256052
92	2174.067315
93	2170.904652
94	2165.57401
95	2149.300839
96	2137.45271
97	2134.492971
98	2125.671965
99	2117.530828
100	2112.639754
101	2108.57159
102	2102.718749
103	2098.994747
104	2085.89172
105	2081.404093
106	2075.191394
107	2067.270296
108	2062.893782
109	2059.28925
110	2054.81703
111	2048.573021
112	2043.322865
113	2040.929591
114	2035.644469
115	2034.005052
116	2031.104928
117	2029.321071
118	2025.056697
119	2022.876981
120	2015.831066
121	2010.924392
122	1997.245699
123	1990.010966
124	1988.005678
125	1986.441237
126	1985.764989
127	1981.584954
128	1974.337806
129	1970.258519
130	1968.409049
131	1967.324546
132	1965.830584
133	1959.603902
134	1954.790848
135	1928.747652
136	1925.699619
137	1922.703567
138	1922.032301
139	1917.613211
140	1914.494944
141	1912.033338
142	1906.861864
143	1902.522891
144	1900.990014
145	1897.482687
146	1893.593982
147	1890.35411
148	1887.671975
149	1884.368713
150	1881.382562
151	1878.803593
152	1873.204968
153	1868.705237
154	1863.855278
155	1862.189179
156	1860.55088
157	1857.943206
158	1854.454749
159	1852.788104
160	1849.971905
161	1846.974872
162	1845.374131
163	1844.003193
164	1841.223944
165	1840.638703
166	1839.557878
167	1838.281782
168	1834.501728
169	1831.945346
170	1829.632594
171	1825.702602
172	1824.788471
173	1821.94734
174	1820.093782
175	1815.901125
176	1810.768534
177	1808.079282
178	1804.870149
179	1801.712306
180	1800.097928
181	1798.774811
182	1796.753761
183	1793.108229
184	1791.63933
185	1790.656828
186	1788.631298
187	1786.975118
188	1784.377843
189	1781.769404
190	1780.806513
191	1775.946069
192	1773.586716
193	1772.494454
194	1771.928351
195	1769.34637
196	1767.156654
197	1766.080689
198	1761.962838
199	1759.558699
200	1756.155071
201	1752.950955
202	1751.219498
203	1747.516704
204	1745.617807
205	1744.130307
206	1742.614504
207	1740.704704
208	1737.837101
209	1734.923348
210	1729.621081
211	1727.410345
212	1725.722704
213	1723.582054
214	1722.25244
215	1718.336706
216	1715.849247
217	1714.022331
218	1712.97222
219	1709.884116
220	1707.759182
221	1704.496335
222	1701.07135
223	1699.253118
224	1698.179243
225	1696.038849
226	1694.702555
227	1693.273463
228	1692.332823
229	1688.470696
230	1687.591942
231	1683.989932
232	1679.735209
233	1677.076091
234	1675.889464
235	1674.807288
236	1654.504917
237	1653.212779
238	1651.742587
239	1650.146592
240	1648.869395
241	1644.106938
242	1640.441875
243	1637.841786
244	1636.433279
245	1635.925637
246	1633.914007
247	1632.726622
248	1629.540963
249	1625.762236
250	1622.840281
251	1619.819138
252	1618.928403
253	1617.510666
254	1616.482818
255	1615.209589
256	1613.73353
257	1611.858202
258	1610.456041
259	1610.126539
260	1607.148368
261	1606.112828
262	1605.21415
263	1601.7962
264	1599.155812
265	1596.712271
266	1593.192522
267	1591.382924
268	1588.9504
269	1587.467235
270	1584.949056
271	1583.541459
272	1581.390523
273	1580.530752
274	1578.984913
275	1577.741756
276	1574.152046
277	1573.318845
278	1571.664892
279	1569.656939
280	1568.836502
281	1568.276197
282	1564.643701
283	1563.213822
284	1560.766133
285	1559.340929
286	1557.790789
287	1555.822651
288	1554.58652
289	1553.149888
290	1550.664456
291	1549.250756
292	1548.155853
293	1547.161488
294	1543.706789
295	1542.239071
296	1541.373492
297	1539.712975
298	1538.977542
299	1536.959151
300	1535.882694
301	1521.068256
302	1520.153979
303	1517.687119
304	1516.47406
305	1515.285063
306	1513.389518
307	1512.855547
308	1510.625333
309	1508.310139
310	1506.477654
311	1504.900767
312	1502.23615
313	1499.160951
314	1498.428445
315	1495.491548
316	1494.483397
317	1492.309442
318	1491.014412
319	1487.602529
320	1486.691706
321	1486.118959
322	1484.431635
323	1483.70631
324	1481.875942
325	1481.584245
326	1480.169624
327	1477.986364
328	1477.041246
329	1476.254414
330	1473.571346
331	1472.128249
332	1470.584804
333	1467.827665
334	1466.479927
335	1464.071121
336	1461.789855
337	1461.248278
338	1459.549657
339	1458.489646
340	1456.041909
341	1455.096097
342	1454.235689
343	1453.357084
344	1452.363372
345	1445.827272
346	1444.588841
347	1434.334625
348	1432.478698
349	1430.749077
350	1430.148181
351	1429.172177
352	1428.112712
353	1427.098681
354	1425.971413
355	1424.150005
356	1423.591663
357	1422.43426
358	1421.944403
359	1418.988868
360	1416.659217
361	1415.658266
362	1413.115719
363	1412.384076
364	1409.919489
365	1409.215825
