iter	Passed	Remaining
0	253	126417
1	303	75520
2	345	57243
3	381	47339
4	413	40901
5	443	36505
6	469	33090
7	501	30869
8	535	29206
9	569	27889
10	613	27251
11	649	26394
12	691	25886
13	749	26004
14	780	25241
15	913	27629
16	964	27415
17	1029	27557
18	1065	26980
19	1096	26316
20	1163	26549
21	1212	26342
22	1243	25784
23	1272	25246
24	1301	24725
25	1332	24293
26	1371	24020
27	1410	23777
28	1451	23578
29	1482	23231
30	1522	23030
31	1548	22645
32	1577	22317
33	1607	22037
34	1636	21741
35	1667	21485
36	1693	21192
37	1714	20845
38	1740	20575
39	1774	20411
40	1809	20253
41	1831	19969
42	1859	19767
43	1890	19590
44	1918	19393
45	1947	19221
46	1983	19119
47	2019	19015
48	2054	18909
49	2092	18829
50	2125	18715
51	2155	18567
52	2182	18408
53	2214	18292
54	2241	18136
55	2266	17972
56	2296	17845
57	2326	17726
58	2353	17592
59	2387	17505
60	2461	17717
61	2514	17766
62	2562	17773
63	2597	17693
64	2627	17584
65	2658	17482
66	2688	17372
67	2717	17265
68	2745	17150
69	2778	17070
70	2812	16991
71	2842	16895
72	2875	16817
73	2904	16719
74	2966	16809
75	3089	17238
76	3145	17277
77	3183	17224
78	3218	17150
79	3250	17067
80	3291	17024
81	3329	16970
82	3381	16988
83	3422	16950
84	3455	16871
85	3488	16792
86	3515	16688
87	3597	16840
88	3681	17001
89	3720	16948
90	3748	16845
91	3781	16771
92	3856	16877
93	3911	16892
94	3968	16917
95	4025	16941
96	4057	16857
97	4086	16761
98	4116	16672
99	4144	16576
100	4176	16499
101	4208	16421
102	4237	16332
103	4264	16238
104	4293	16151
105	4322	16066
106	4349	15975
107	4379	15894
108	4415	15837
109	4443	15753
110	4470	15665
111	4498	15582
112	4531	15518
113	4561	15446
114	4592	15373
115	4621	15300
116	4650	15224
117	4693	15192
118	4719	15109
119	4749	15040
120	4784	14984
121	4813	14914
122	4842	14841
123	4875	14783
124	4903	14711
125	4931	14638
126	4955	14554
127	4985	14489
128	5010	14411
129	5039	14342
130	5067	14273
131	5097	14210
132	5126	14146
